"id","name","exercise type","difficulty","attributes","duration","play","Average total exp","Average Finger Strength exp","Average Power exp","Average Endurance exp","Average Flexibility exp","Average Fitness exp"
67,"Deep crunches","Repetitions",3,"Power|Fitness",36,4,270,270,0,0,0,0
68,"Power ball crunches","Repetitions",2,"Power|Fitness",26,4,0,0,0,0,0,0
69,"Hanging leg lifts","Repetitions",2,"Power|Fitness",26,4,30,0,30,0,0,0
70,"Weighted crunches","Repetitions",2,"Power|Fitness",20,5,90,45,45,0,0,0
71,"Front lever","Repetitions",3,"Power|Fitness",19,4,1430,540,75,740,0,75
72,"Windshield wipers","Time",2,"Power|Fitness",30,11,1261,1261,0,0,0,0
73,"One arm pull ups","No interaction",5,"Power",13,5,171,129,42,0,0,0
74,"Freestyle campus","No interaction",2,"Finger Strength|Power",10,0,0,0,0,0,0,0
75,"Campus matches 1-2-3-4-5","No interaction",1,"Finger Strength|Power",14,8,1261,1261,0,0,0,0
76,"Campus ladder","No interaction",2,"Finger Strength|Power",27,30,773,124,65,40,484,61
77,"Campus reaches","Repetitions",2,"Finger Strength|Power",20,14,883,88,59,51,607,77
78,"Campus two moves highest reach","No interaction",2,"Finger Strength|Power",36,31,1528,108,6,619,0,794
79,"Campus ladder lockoff","No interaction",2,"Finger Strength|Power",13,8,128,11,11,105,0,0
80,"Campus doubles","No interaction",2,"Finger Strength|Power",24,14,331,100,13,17,176,26
81,"Campus one handed bumps","No interaction",3,"Finger Strength|Power",29,17,203,82,121,0,0,0
82,"Campus slow ladder","No interaction",3,"Finger Strength|Power",3,5,1446,432,98,0,517,399
83,"Medium rang hang","Time",1,"Finger Strength",11,11,173,80,43,0,42,8
84,"Medium rang pull up","Repetitions",3,"Finger Strength|Power",14,6,80,65,15,0,0,0
85,"Small rang hang","Time",3,"Finger Strength",30,0,0,0,0,0,0,0
86,"Small rang pull up","Repetitions",3,"Finger Strength|Power",11,10,353,121,26,0,0,206
87,"Small rang weighted pull up","Repetitions",4,"Finger Strength|Power",15,1,752,0,66,0,0,686
88,"Lock off - straight arms","Time",3,"Power",10,7,218,49,71,0,99,0
89,"Lock off - 120° lock","Time",3,"Power",30,0,0,0,0,0,0,0
90,"Lock off - 90° lock","Time",3,"Power",9,14,448,334,28,0,33,53
91,"Lock off - full lock","Time",3,"Power",30,0,0,0,0,0,0,0
92,"Pull up then Campus explosive doubles","No interaction",2,"Finger Strength|Power",7,2,752,0,66,0,0,686
93,"Fast pull ups","Repetitions",2,"Power|Fitness",20,0,0,0,0,0,0,0
94,"Frenchies one arm - full lock","Time",5,"Power",5,66,695,209,0,218,12,256
95,"Frenchies one arm - 90° lock","Time",5,"Power",5,47,105,79,1,0,26,0
96,"Frenchies one arm - 120° lock","Time",5,"Power",5,44,218,175,18,0,25,0
97,"One slow pull up","Time",3,"Power",8,49,433,251,43,0,5,134
98,"Campus highest one move","No interaction",2,"Finger Strength|Power",17,14,456,437,11,0,9,0
99,"Campus reaches and stay","Repetitions",2,"Finger Strength|Power",13,6,1273,179,92,0,425,577
100,"Campus cycle","Repetitions",2,"Finger Strength|Power",23,6,599,459,63,0,77,0
101,"Campus matches 1-3-5-7","Repetitions",3,"Finger Strength|Power",1,4,562,367,80,0,115,0
102,"Campus snatches","No interaction",3,"Finger Strength|Power",9,32,1690,70,90,120,1230,180
103,"Campus ladder lockoff","No interaction",3,"Finger Strength|Power",6,35,178,46,0,0,132,0
104,"Campus two moves highest reach","No interaction",3,"Finger Strength|Power",5,53,659,2,2,443,212,0
105,"Campus offset highest reach","No interaction",3,"Finger Strength|Power",6,7,57,57,0,0,0,0
106,"Campus doubles up-down","No interaction",3,"Finger Strength|Power",53,19,140,55,5,6,65,9
107,"Campus higher than highest reach","No interaction",3,"Finger Strength|Power",0,4,57,57,0,0,0,0
108,"Toes to bar","Repetitions",2,"Power|Fitness",97,3,0,0,0,0,0,0
109,"Bicycles","Repetitions",2,"Fitness",62,32,417,104,0,0,313,0
110,"Flutter kicks","Repetitions",2,"Fitness",40,30,1247,595,32,0,548,72
111,"Leg lifts","Repetitions",2,"Fitness",77,32,221,221,0,0,0,0
112,"Side plank dips","Time",1,"Fitness",60,30,24,22,3,0,0,0
113,"Supermans","Time",2,"Fitness",60,26,1681,357,104,437,653,129
